policy_id,title,sector,region,year,impact_score,goals
P1378,District Secondary Education Reform 68,Higher Education,Punjab,2022,0.675,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1379,State Secondary Education Reform 90,Early Childhood,Maharashtra,2021,0.344,Increase vocational skills score by 31% within 5 years and reduce disparities between rural and urban areas.
P1380,State Vocational Education Reform 58,Secondary,Delhi,2018,0.439,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1381,State Primary Education Reform 11,Early Childhood,Uttar Pradesh,2022,0.846,"Train 1067 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1382,State Secondary Education Reform 28,Primary,Rajasthan,2018,0.495,Increase early childhood development score by 28% within 2 years and reduce disparities between rural and urban areas.
P1383,National Higher Education Education Reform 25,Primary,Uttar Pradesh,2016,0.196,Increase teacher quality score by 32% within 1 years and reduce disparities between rural and urban areas.
P1384,National Primary Education Reform 52,Higher Education,Karnataka,2021,0.678,Increase teacher quality score by 36% within 1 years and reduce disparities between rural and urban areas.
P1385,District Vocational Education Reform 87,Secondary,Kerala,2017,0.642,Increase early childhood development score by 19% within 1 years and reduce disparities between rural and urban areas.
P1386,District Primary Education Reform 8,Secondary,Kerala,2022,0.312,"Train 1149 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1387,District Higher Education Education Reform 44,Secondary,Uttar Pradesh,2023,0.564,Increase infrastructure score by 9% within 2 years and reduce disparities between rural and urban areas.
P1388,National Secondary Education Reform 76,Early Childhood,Uttar Pradesh,2018,0.246,Increase infrastructure score by 23% within 5 years and reduce disparities between rural and urban areas.
P1389,National Higher Education Education Reform 51,Vocational,Tamil Nadu,2022,0.118,"Train 4925 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1390,State Vocational Education Reform 72,Early Childhood,Gujarat,2016,0.104,"Train 4075 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1391,National Vocational Education Reform 5,Primary,West Bengal,2024,0.554,Increase digital access score by 32% within 2 years and reduce disparities between rural and urban areas.
P1392,District Secondary Education Reform 34,Early Childhood,Gujarat,2025,0.111,"Train 3307 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1393,District Early Childhood Education Reform 85,Vocational,Punjab,2019,0.791,Increase teacher quality score by 5% within 2 years and reduce disparities between rural and urban areas.
P1394,District Vocational Education Reform 84,Higher Education,West Bengal,2017,0.533,"Train 1570 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1395,National Secondary Education Reform 11,Higher Education,Maharashtra,2021,0.309,Increase digital access score by 5% within 5 years and reduce disparities between rural and urban areas.
P1396,State Early Childhood Education Reform 67,Higher Education,Gujarat,2022,0.99,"Train 3150 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1397,National Early Childhood Education Reform 16,Early Childhood,Delhi,2018,0.103,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1398,State Vocational Education Reform 61,Primary,West Bengal,2019,0.799,"Train 4129 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1399,District Early Childhood Education Reform 31,Secondary,Uttar Pradesh,2017,0.243,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1400,District Early Childhood Education Reform 9,Higher Education,West Bengal,2021,0.359,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1401,National Early Childhood Education Reform 69,Secondary,West Bengal,2021,0.626,"Train 2638 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1402,State Secondary Education Reform 96,Primary,Punjab,2020,0.526,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1403,State Vocational Education Reform 39,Secondary,Karnataka,2023,0.774,"Train 2363 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1404,District Higher Education Education Reform 59,Secondary,Punjab,2017,0.294,Increase vocational skills score by 14% within 4 years and reduce disparities between rural and urban areas.
P1405,State Vocational Education Reform 23,Primary,Maharashtra,2023,0.318,"Train 2529 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1406,State Primary Education Reform 16,Primary,Maharashtra,2016,0.527,"Train 3195 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1407,National Vocational Education Reform 90,Primary,West Bengal,2023,0.58,Increase vocational skills score by 5% within 5 years and reduce disparities between rural and urban areas.
P1408,District Secondary Education Reform 84,Secondary,Maharashtra,2023,0.366,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1409,District Vocational Education Reform 89,Higher Education,Rajasthan,2020,0.311,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1410,District Higher Education Education Reform 34,Vocational,Tamil Nadu,2021,0.577,Increase learning outcomes score by 37% within 5 years and reduce disparities between rural and urban areas.
P1411,State Primary Education Reform 78,Secondary,Maharashtra,2019,0.423,Increase teacher quality score by 11% within 4 years and reduce disparities between rural and urban areas.
P1412,District Higher Education Education Reform 76,Vocational,Maharashtra,2023,0.252,Increase digital access score by 21% within 1 years and reduce disparities between rural and urban areas.
P1413,District Higher Education Education Reform 7,Higher Education,Uttar Pradesh,2025,0.811,"Train 4314 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1414,National Secondary Education Reform 12,Secondary,Punjab,2015,0.956,Increase digital access score by 37% within 5 years and reduce disparities between rural and urban areas.
P1415,District Primary Education Reform 92,Vocational,Rajasthan,2020,0.904,Increase infrastructure score by 8% within 4 years and reduce disparities between rural and urban areas.
P1416,State Secondary Education Reform 70,Primary,Delhi,2019,0.45,"Train 3843 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1417,State Primary Education Reform 1,Higher Education,Tamil Nadu,2021,0.175,"Train 4042 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1418,State Vocational Education Reform 24,Early Childhood,Delhi,2016,0.105,"Train 2383 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1419,District Secondary Education Reform 62,Higher Education,Maharashtra,2021,0.547,Increase vocational skills score by 13% within 2 years and reduce disparities between rural and urban areas.
P1420,District Higher Education Education Reform 55,Early Childhood,Karnataka,2021,0.32,"Train 2093 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1421,District Primary Education Reform 90,Early Childhood,Punjab,2017,0.134,"Train 1685 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1422,State Vocational Education Reform 62,Primary,Rajasthan,2021,0.35,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1423,State Vocational Education Reform 36,Early Childhood,Maharashtra,2021,0.199,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1424,District Vocational Education Reform 12,Primary,Tamil Nadu,2025,0.272,Increase digital access score by 17% within 5 years and reduce disparities between rural and urban areas.
P1425,District Higher Education Education Reform 98,Early Childhood,Kerala,2020,0.566,Increase early childhood development score by 7% within 5 years and reduce disparities between rural and urban areas.
P1426,District Early Childhood Education Reform 66,Primary,Tamil Nadu,2022,0.284,Increase learning outcomes score by 37% within 4 years and reduce disparities between rural and urban areas.
P1427,District Primary Education Reform 22,Secondary,Karnataka,2023,0.925,Increase teacher quality score by 5% within 3 years and reduce disparities between rural and urban areas.
P1428,District Secondary Education Reform 53,Early Childhood,Delhi,2020,0.257,"Train 3179 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1429,District Vocational Education Reform 20,Vocational,Uttar Pradesh,2021,0.509,"Train 1527 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1430,National Secondary Education Reform 10,Vocational,Uttar Pradesh,2022,0.747,Increase learning outcomes score by 12% within 1 years and reduce disparities between rural and urban areas.
P1431,National Early Childhood Education Reform 2,Primary,Maharashtra,2023,0.776,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1432,National Primary Education Reform 70,Higher Education,Maharashtra,2023,0.121,Increase digital access score by 29% within 1 years and reduce disparities between rural and urban areas.
P1433,State Higher Education Education Reform 10,Early Childhood,Kerala,2016,0.481,"Train 1280 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1434,District Primary Education Reform 1,Secondary,Tamil Nadu,2020,0.825,"Train 1235 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1435,State Vocational Education Reform 89,Vocational,Punjab,2025,0.542,Increase early childhood development score by 31% within 5 years and reduce disparities between rural and urban areas.
P1436,National Secondary Education Reform 3,Higher Education,Rajasthan,2022,0.855,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1437,District Secondary Education Reform 49,Primary,West Bengal,2020,0.875,Increase learning outcomes score by 9% within 1 years and reduce disparities between rural and urban areas.
P1438,District Early Childhood Education Reform 90,Higher Education,Gujarat,2021,0.355,"Train 4999 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1439,District Higher Education Education Reform 74,Early Childhood,Delhi,2018,0.436,"Train 508 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1440,District Vocational Education Reform 49,Secondary,Karnataka,2020,0.169,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1441,National Early Childhood Education Reform 26,Primary,Uttar Pradesh,2019,0.183,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1442,State Early Childhood Education Reform 13,Early Childhood,Tamil Nadu,2015,0.358,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1443,State Vocational Education Reform 17,Higher Education,Delhi,2020,0.313,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1444,National Vocational Education Reform 41,Secondary,Delhi,2017,0.259,"Train 3671 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1445,State Early Childhood Education Reform 88,Secondary,Gujarat,2020,0.55,Increase teacher quality score by 14% within 1 years and reduce disparities between rural and urban areas.
P1446,National Secondary Education Reform 50,Vocational,Maharashtra,2020,0.751,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1447,State Vocational Education Reform 5,Early Childhood,Tamil Nadu,2022,0.789,"Train 1798 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1448,National Primary Education Reform 36,Vocational,Maharashtra,2019,0.264,"Train 2482 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1449,District Vocational Education Reform 46,Early Childhood,West Bengal,2015,0.649,Increase teacher quality score by 34% within 2 years and reduce disparities between rural and urban areas.
P1450,District Primary Education Reform 58,Secondary,Gujarat,2025,0.474,"Train 1820 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1451,State Early Childhood Education Reform 16,Vocational,Gujarat,2021,0.566,"Train 3559 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1452,District Vocational Education Reform 82,Higher Education,Punjab,2016,0.93,"Train 3688 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1453,National Secondary Education Reform 61,Primary,Kerala,2022,0.552,Increase teacher quality score by 5% within 4 years and reduce disparities between rural and urban areas.
P1454,District Early Childhood Education Reform 41,Higher Education,Tamil Nadu,2024,0.837,Increase early childhood development score by 25% within 5 years and reduce disparities between rural and urban areas.
P1455,District Primary Education Reform 81,Early Childhood,West Bengal,2025,0.123,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1456,National Secondary Education Reform 39,Secondary,Rajasthan,2018,0.174,"Train 958 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1457,National Vocational Education Reform 47,Secondary,West Bengal,2016,0.287,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1458,National Higher Education Education Reform 45,Vocational,Punjab,2024,0.925,Increase infrastructure score by 18% within 3 years and reduce disparities between rural and urban areas.
P1459,National Primary Education Reform 94,Secondary,Delhi,2019,0.68,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1460,National Early Childhood Education Reform 99,Early Childhood,Delhi,2017,0.477,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1461,National Primary Education Reform 66,Higher Education,Punjab,2021,0.82,Increase digital access score by 28% within 3 years and reduce disparities between rural and urban areas.
P1462,District Primary Education Reform 92,Higher Education,Uttar Pradesh,2022,0.352,"Train 4645 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1463,National Secondary Education Reform 7,Vocational,Gujarat,2015,0.635,"Train 2385 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1464,District Primary Education Reform 44,Primary,Maharashtra,2022,0.456,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1465,National Primary Education Reform 2,Secondary,Maharashtra,2020,0.744,"Train 2177 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1466,State Higher Education Education Reform 90,Secondary,Tamil Nadu,2024,0.77,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1467,National Higher Education Education Reform 99,Higher Education,Maharashtra,2020,0.965,Increase learning outcomes score by 17% within 4 years and reduce disparities between rural and urban areas.
P1468,District Higher Education Education Reform 98,Higher Education,Gujarat,2025,0.443,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1469,District Primary Education Reform 19,Vocational,Maharashtra,2016,0.524,"Train 1019 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1470,District Higher Education Education Reform 7,Vocational,Delhi,2020,0.273,Increase infrastructure score by 38% within 4 years and reduce disparities between rural and urban areas.
P1471,National Primary Education Reform 7,Primary,Punjab,2019,0.723,"Train 1851 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1472,State Primary Education Reform 13,Secondary,Rajasthan,2024,0.248,Increase teacher quality score by 26% within 1 years and reduce disparities between rural and urban areas.
P1473,District Higher Education Education Reform 61,Early Childhood,Karnataka,2022,0.605,"Train 1250 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1474,State Vocational Education Reform 33,Higher Education,Gujarat,2015,0.789,Increase early childhood development score by 14% within 4 years and reduce disparities between rural and urban areas.
P1475,National Secondary Education Reform 74,Vocational,Kerala,2018,0.668,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1476,State Secondary Education Reform 6,Early Childhood,Rajasthan,2020,0.962,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1477,State Higher Education Education Reform 9,Higher Education,Karnataka,2022,0.147,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1478,National Higher Education Education Reform 19,Secondary,West Bengal,2024,0.321,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1479,District Secondary Education Reform 88,Secondary,Delhi,2017,0.604,"Train 3129 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1480,State Higher Education Education Reform 55,Vocational,West Bengal,2021,0.179,"Train 4804 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1481,District Primary Education Reform 60,Early Childhood,Gujarat,2015,0.397,Increase learning outcomes score by 12% within 5 years and reduce disparities between rural and urban areas.
P1482,District Vocational Education Reform 18,Secondary,Tamil Nadu,2019,0.712,Increase learning outcomes score by 38% within 1 years and reduce disparities between rural and urban areas.
P1483,District Vocational Education Reform 51,Primary,Maharashtra,2019,0.332,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1484,District Early Childhood Education Reform 26,Vocational,Gujarat,2019,0.448,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1485,District Higher Education Education Reform 5,Early Childhood,Gujarat,2015,0.346,Increase infrastructure score by 37% within 1 years and reduce disparities between rural and urban areas.
P1486,State Vocational Education Reform 92,Secondary,Delhi,2025,0.435,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1487,National Primary Education Reform 94,Secondary,Uttar Pradesh,2016,0.388,"Train 1475 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1488,District Primary Education Reform 57,Higher Education,Punjab,2025,0.436,Increase vocational skills score by 36% within 4 years and reduce disparities between rural and urban areas.
P1489,District Secondary Education Reform 12,Early Childhood,Karnataka,2025,0.895,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1490,State Higher Education Education Reform 80,Early Childhood,Tamil Nadu,2016,0.17,Increase early childhood development score by 8% within 5 years and reduce disparities between rural and urban areas.
P1491,State Higher Education Education Reform 9,Secondary,Delhi,2016,0.586,"Train 295 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1492,National Early Childhood Education Reform 94,Higher Education,Karnataka,2018,0.945,Increase early childhood development score by 13% within 3 years and reduce disparities between rural and urban areas.
P1493,National Higher Education Education Reform 56,Vocational,Delhi,2018,0.575,Increase digital access score by 8% within 4 years and reduce disparities between rural and urban areas.
P1494,District Secondary Education Reform 15,Vocational,Maharashtra,2024,0.312,Increase learning outcomes score by 5% within 2 years and reduce disparities between rural and urban areas.
P1495,National Higher Education Education Reform 6,Higher Education,Kerala,2024,0.526,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1496,District Higher Education Education Reform 84,Secondary,Rajasthan,2019,0.728,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1497,State Secondary Education Reform 5,Secondary,Gujarat,2025,0.341,"Train 539 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1498,National Secondary Education Reform 49,Secondary,West Bengal,2023,0.934,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1499,District Vocational Education Reform 55,Early Childhood,Punjab,2023,0.217,"Train 750 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1500,State Higher Education Education Reform 35,Higher Education,Punjab,2015,0.495,Increase learning outcomes score by 35% within 5 years and reduce disparities between rural and urban areas.
