policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text,text_for_nlp
P1495,National Higher Education Education Reform 6,Higher Education,Kerala,2024,Disadvantaged Groups,Implemented,30.38,"Central Government, Donors",0.526,A nationwide/state-level initiative to strengthen learning outcomes through public-private partnerships. Targets Disadvantaged Groups and aims to improve retention.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen learning outcomes through public-private partnerships. Targets Disadvantaged Groups and aims to improve retention. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Budget allocations defined.","p1495 national higher education education reform 6 higher education kerala disadvantaged groups implemented central government, donors a nationwide/state-level initiative to strengthen learning outcomes through public-private partnerships. targets disadvantaged groups and aims to improve retention. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. a nationwide/state-level initiative to strengthen learning outcomes through public-private partnerships. targets disadvantaged groups and aims to improve retention. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. budget allocations defined. budget allocations defined."
P1263,National Primary Education Reform 73,Vocational,Kerala,2016,Women,Pilot,1.14,"EdTech Companies, Universities",0.975,"Policy to enhance teacher quality and community participation using curriculum reform. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance teacher quality and community participation using curriculum reform. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Stakeholder consultations planned. Stakeholder consultations planned.","p1263 national primary education reform 73 vocational kerala women pilot edtech companies, universities policy to enhance teacher quality and community participation using curriculum reform. includes capacity-building, monitoring and community engagement. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. policy to enhance teacher quality and community participation using curriculum reform. includes capacity-building, monitoring and community engagement. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. stakeholder consultations planned. stakeholder consultations planned."
P1324,District Early Childhood Education Reform 56,Secondary,Delhi,2016,Rural Students,Proposed,12.49,"Teachers' Unions, Community Leaders",0.766,"Policy to enhance digital access and assessment quality using digital device distribution. Includes capacity-building, monitoring and community engagement.","Train 4285 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","Policy to enhance digital access and assessment quality using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Train 4285 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. Includes evaluation. Stakeholder consultations planned.","p1324 district early childhood education reform 56 secondary delhi rural students proposed teachers' unions, community leaders policy to enhance digital access and assessment quality using digital device distribution. includes capacity-building, monitoring and community engagement. train 4285 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. policy to enhance digital access and assessment quality using digital device distribution. includes capacity-building, monitoring and community engagement. goals: train 4285 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. includes evaluation. stakeholder consultations planned."
P1484,District Early Childhood Education Reform 26,Vocational,Gujarat,2019,Rural Students,Proposed,0.25,"Teachers' Unions, Community Leaders",0.448,This policy aims to improve vocational skills in Vocational by providing grants to schools across Gujarat. It focuses on urban inclusion.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve vocational skills in Vocational by providing grants to schools across Gujarat. It focuses on urban inclusion. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Focus on equity.","p1484 district early childhood education reform 26 vocational gujarat rural students proposed teachers' unions, community leaders this policy aims to improve vocational skills in vocational by providing grants to schools across gujarat. it focuses on urban inclusion. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. this policy aims to improve vocational skills in vocational by providing grants to schools across gujarat. it focuses on urban inclusion. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. timeline set. focus on equity."
P1080,District Primary Education Reform 64,Early Childhood,Delhi,2025,Rural Students,Pilot,17.07,"Central Government, Donors",0.365,A nationwide/state-level initiative to strengthen learning outcomes through public-private partnerships. Targets Rural Students and aims to improve retention.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen learning outcomes through public-private partnerships. Targets Rural Students and aims to improve retention. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Budget allocations defined.","p1080 district primary education reform 64 early childhood delhi rural students pilot central government, donors a nationwide/state-level initiative to strengthen learning outcomes through public-private partnerships. targets rural students and aims to improve retention. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. a nationwide/state-level initiative to strengthen learning outcomes through public-private partnerships. targets rural students and aims to improve retention. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. includes evaluation. budget allocations defined."
P1040,District Early Childhood Education Reform 96,Secondary,Maharashtra,2019,All,Pilot,94.74,"EdTech Companies, Universities",0.338,A nationwide/state-level initiative to strengthen learning outcomes through digital device distribution. Targets All and aims to boost employability.,"Train 4858 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen learning outcomes through digital device distribution. Targets All and aims to boost employability. Goals: Train 4858 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. Stakeholder consultations planned. Stakeholder consultations planned.","p1040 district early childhood education reform 96 secondary maharashtra all pilot edtech companies, universities a nationwide/state-level initiative to strengthen learning outcomes through digital device distribution. targets all and aims to boost employability. train 4858 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. a nationwide/state-level initiative to strengthen learning outcomes through digital device distribution. targets all and aims to boost employability. goals: train 4858 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. stakeholder consultations planned. stakeholder consultations planned."
P1452,District Vocational Education Reform 82,Higher Education,Punjab,2016,Students,Proposed,3.42,"EdTech Companies, Universities",0.93,This policy aims to improve learning outcomes in Higher Education by providing curriculum reform across Punjab. It focuses on literacy and numeracy.,"Train 3688 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve learning outcomes in Higher Education by providing curriculum reform across Punjab. It focuses on literacy and numeracy. Goals: Train 3688 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Stakeholder consultations planned. Timeline set.","p1452 district vocational education reform 82 higher education punjab students proposed edtech companies, universities this policy aims to improve learning outcomes in higher education by providing curriculum reform across punjab. it focuses on literacy and numeracy. train 3688 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. this policy aims to improve learning outcomes in higher education by providing curriculum reform across punjab. it focuses on literacy and numeracy. goals: train 3688 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. stakeholder consultations planned. timeline set."
P1047,State Secondary Education Reform 33,Vocational,Delhi,2020,All,Proposed,0.49,"State Education Department, Private Partners",0.771,A nationwide/state-level initiative to strengthen infrastructure through public-private partnerships. Targets All and aims to raise completion rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen infrastructure through public-private partnerships. Targets All and aims to raise completion rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Focus on equity. Timeline set.","p1047 state secondary education reform 33 vocational delhi all proposed state education department, private partners a nationwide/state-level initiative to strengthen infrastructure through public-private partnerships. targets all and aims to raise completion rates. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. a nationwide/state-level initiative to strengthen infrastructure through public-private partnerships. targets all and aims to raise completion rates. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. focus on equity. timeline set."
P1239,District Early Childhood Education Reform 61,Higher Education,Tamil Nadu,2021,Urban Students,Pilot,7.46,"State Education Department, Private Partners",0.129,"Policy to enhance learning outcomes and governance using digital device distribution. Includes capacity-building, monitoring and community engagement.","Train 1711 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","Policy to enhance learning outcomes and governance using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Train 1711 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Timeline set.","p1239 district early childhood education reform 61 higher education tamil nadu urban students pilot state education department, private partners policy to enhance learning outcomes and governance using digital device distribution. includes capacity-building, monitoring and community engagement. train 1711 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. policy to enhance learning outcomes and governance using digital device distribution. includes capacity-building, monitoring and community engagement. goals: train 1711 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. budget allocations defined. timeline set."
P1392,District Secondary Education Reform 34,Early Childhood,Gujarat,2025,Teachers,Under Review,14.03,"State Education Department, Private Partners",0.111,This policy aims to improve learning outcomes in Early Childhood by providing public-private partnerships across Gujarat. It focuses on literacy and numeracy.,"Train 3307 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve learning outcomes in Early Childhood by providing public-private partnerships across Gujarat. It focuses on literacy and numeracy. Goals: Train 3307 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Budget allocations defined.","p1392 district secondary education reform 34 early childhood gujarat teachers under review state education department, private partners this policy aims to improve learning outcomes in early childhood by providing public-private partnerships across gujarat. it focuses on literacy and numeracy. train 3307 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. this policy aims to improve learning outcomes in early childhood by providing public-private partnerships across gujarat. it focuses on literacy and numeracy. goals: train 3307 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. budget allocations defined. budget allocations defined."
P1353,National Vocational Education Reform 4,Vocational,Uttar Pradesh,2015,Rural Students,Proposed,16.44,"State Education Department, Private Partners",0.371,"Policy to enhance digital access and governance using curriculum reform. Includes capacity-building, monitoring and community engagement.","Train 1216 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","Policy to enhance digital access and governance using curriculum reform. Includes capacity-building, monitoring and community engagement. Goals: Train 1216 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. Stakeholder consultations planned. Timeline set.","p1353 national vocational education reform 4 vocational uttar pradesh rural students proposed state education department, private partners policy to enhance digital access and governance using curriculum reform. includes capacity-building, monitoring and community engagement. train 1216 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. policy to enhance digital access and governance using curriculum reform. includes capacity-building, monitoring and community engagement. goals: train 1216 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. stakeholder consultations planned. timeline set."
P1342,District Secondary Education Reform 74,Primary,Rajasthan,2019,Urban Students,Pilot,77.72,"Teachers' Unions, Community Leaders",0.909,"Policy to enhance learning outcomes and governance using digital device distribution. Includes capacity-building, monitoring and community engagement.","Train 3359 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","Policy to enhance learning outcomes and governance using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Train 3359 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. Timeline set. Includes evaluation.","p1342 district secondary education reform 74 primary rajasthan urban students pilot teachers' unions, community leaders policy to enhance learning outcomes and governance using digital device distribution. includes capacity-building, monitoring and community engagement. train 3359 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. policy to enhance learning outcomes and governance using digital device distribution. includes capacity-building, monitoring and community engagement. goals: train 3359 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. timeline set. includes evaluation."
P1278,National Secondary Education Reform 82,Higher Education,Rajasthan,2022,Urban Students,Implemented,14.16,"Ministry of Education, Local NGOs",0.631,This policy aims to improve vocational skills in Higher Education by providing curriculum reform across Rajasthan. It focuses on STEM education.,Increase vocational skills score by 31% within 1 years and reduce disparities between rural and urban areas.,This policy aims to improve vocational skills in Higher Education by providing curriculum reform across Rajasthan. It focuses on STEM education. Goals: Increase vocational skills score by 31% within 1 years and reduce disparities between rural and urban areas. Stakeholder consultations planned. Focus on equity.,"p1278 national secondary education reform 82 higher education rajasthan urban students implemented ministry of education, local ngos this policy aims to improve vocational skills in higher education by providing curriculum reform across rajasthan. it focuses on stem education. increase vocational skills score by 31% within 1 years and reduce disparities between rural and urban areas. this policy aims to improve vocational skills in higher education by providing curriculum reform across rajasthan. it focuses on stem education. goals: increase vocational skills score by 31% within 1 years and reduce disparities between rural and urban areas. stakeholder consultations planned. focus on equity."
P1291,State Vocational Education Reform 99,Secondary,Gujarat,2020,Teachers,Proposed,71.78,"Teachers' Unions, Community Leaders",0.522,This policy aims to improve teacher quality in Secondary by providing scholarship schemes across Gujarat. It focuses on literacy and numeracy.,Increase teacher quality score by 26% within 1 years and reduce disparities between rural and urban areas.,This policy aims to improve teacher quality in Secondary by providing scholarship schemes across Gujarat. It focuses on literacy and numeracy. Goals: Increase teacher quality score by 26% within 1 years and reduce disparities between rural and urban areas. Stakeholder consultations planned. Focus on equity.,"p1291 state vocational education reform 99 secondary gujarat teachers proposed teachers' unions, community leaders this policy aims to improve teacher quality in secondary by providing scholarship schemes across gujarat. it focuses on literacy and numeracy. increase teacher quality score by 26% within 1 years and reduce disparities between rural and urban areas. this policy aims to improve teacher quality in secondary by providing scholarship schemes across gujarat. it focuses on literacy and numeracy. goals: increase teacher quality score by 26% within 1 years and reduce disparities between rural and urban areas. stakeholder consultations planned. focus on equity."
P1318,National Vocational Education Reform 61,Vocational,Kerala,2021,All,Proposed,15.48,"EdTech Companies, Universities",0.159,"Policy to enhance digital access and assessment quality using scholarship schemes. Includes capacity-building, monitoring and community engagement.",Increase digital access score by 8% within 2 years and reduce disparities between rural and urban areas.,"Policy to enhance digital access and assessment quality using scholarship schemes. Includes capacity-building, monitoring and community engagement. Goals: Increase digital access score by 8% within 2 years and reduce disparities between rural and urban areas. Focus on equity. Timeline set.","p1318 national vocational education reform 61 vocational kerala all proposed edtech companies, universities policy to enhance digital access and assessment quality using scholarship schemes. includes capacity-building, monitoring and community engagement. increase digital access score by 8% within 2 years and reduce disparities between rural and urban areas. policy to enhance digital access and assessment quality using scholarship schemes. includes capacity-building, monitoring and community engagement. goals: increase digital access score by 8% within 2 years and reduce disparities between rural and urban areas. focus on equity. timeline set."
P1305,State Early Childhood Education Reform 36,Secondary,Gujarat,2016,Students,Under Review,0.3,"State Education Department, Private Partners",0.126,This policy aims to improve vocational skills in Secondary by providing grants to schools across Gujarat. It focuses on marginalized communities.,"Train 269 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve vocational skills in Secondary by providing grants to schools across Gujarat. It focuses on marginalized communities. Goals: Train 269 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Stakeholder consultations planned. Stakeholder consultations planned.","p1305 state early childhood education reform 36 secondary gujarat students under review state education department, private partners this policy aims to improve vocational skills in secondary by providing grants to schools across gujarat. it focuses on marginalized communities. train 269 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. this policy aims to improve vocational skills in secondary by providing grants to schools across gujarat. it focuses on marginalized communities. goals: train 269 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. stakeholder consultations planned. stakeholder consultations planned."
P1269,District Higher Education Education Reform 33,Secondary,Karnataka,2015,Women,Proposed,4.72,"State Education Department, Private Partners",0.946,This policy aims to improve vocational skills in Secondary by providing grants to schools across Karnataka. It focuses on literacy and numeracy.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve vocational skills in Secondary by providing grants to schools across Karnataka. It focuses on literacy and numeracy. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Budget allocations defined.","p1269 district higher education education reform 33 secondary karnataka women proposed state education department, private partners this policy aims to improve vocational skills in secondary by providing grants to schools across karnataka. it focuses on literacy and numeracy. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. this policy aims to improve vocational skills in secondary by providing grants to schools across karnataka. it focuses on literacy and numeracy. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. includes evaluation. budget allocations defined."
P1070,State Primary Education Reform 15,Vocational,Punjab,2023,Students,Implemented,9.37,"Ministry of Education, Local NGOs",0.647,A nationwide/state-level initiative to strengthen infrastructure through scholarship schemes. Targets Students and aims to raise completion rates.,"Train 751 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen infrastructure through scholarship schemes. Targets Students and aims to raise completion rates. Goals: Train 751 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. Focus on equity. Timeline set.","p1070 state primary education reform 15 vocational punjab students implemented ministry of education, local ngos a nationwide/state-level initiative to strengthen infrastructure through scholarship schemes. targets students and aims to raise completion rates. train 751 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. a nationwide/state-level initiative to strengthen infrastructure through scholarship schemes. targets students and aims to raise completion rates. goals: train 751 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. focus on equity. timeline set."
P1456,National Secondary Education Reform 39,Secondary,Rajasthan,2018,Disadvantaged Groups,Pilot,72.74,"Teachers' Unions, Community Leaders",0.174,A nationwide/state-level initiative to strengthen infrastructure through public-private partnerships. Targets Disadvantaged Groups and aims to improve retention.,"Train 958 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen infrastructure through public-private partnerships. Targets Disadvantaged Groups and aims to improve retention. Goals: Train 958 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. Includes evaluation. Focus on equity.","p1456 national secondary education reform 39 secondary rajasthan disadvantaged groups pilot teachers' unions, community leaders a nationwide/state-level initiative to strengthen infrastructure through public-private partnerships. targets disadvantaged groups and aims to improve retention. train 958 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. a nationwide/state-level initiative to strengthen infrastructure through public-private partnerships. targets disadvantaged groups and aims to improve retention. goals: train 958 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. includes evaluation. focus on equity."
P1466,State Higher Education Education Reform 90,Secondary,Tamil Nadu,2024,Urban Students,Proposed,9.79,"State Education Department, Private Partners",0.77,A nationwide/state-level initiative to strengthen digital access through public-private partnerships. Targets Urban Students and aims to reduce dropout rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen digital access through public-private partnerships. Targets Urban Students and aims to reduce dropout rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Includes evaluation.","p1466 state higher education education reform 90 secondary tamil nadu urban students proposed state education department, private partners a nationwide/state-level initiative to strengthen digital access through public-private partnerships. targets urban students and aims to reduce dropout rates. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. a nationwide/state-level initiative to strengthen digital access through public-private partnerships. targets urban students and aims to reduce dropout rates. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. timeline set. includes evaluation."
P1155,District Higher Education Education Reform 53,Higher Education,West Bengal,2025,Urban Students,Pilot,1.27,"Central Government, Donors",0.228,"Policy to enhance early childhood development and safety standards using public-private partnerships. Includes capacity-building, monitoring and community engagement.","Train 367 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","Policy to enhance early childhood development and safety standards using public-private partnerships. Includes capacity-building, monitoring and community engagement. Goals: Train 367 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Budget allocations defined.","p1155 district higher education education reform 53 higher education west bengal urban students pilot central government, donors policy to enhance early childhood development and safety standards using public-private partnerships. includes capacity-building, monitoring and community engagement. train 367 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. policy to enhance early childhood development and safety standards using public-private partnerships. includes capacity-building, monitoring and community engagement. goals: train 367 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. budget allocations defined. budget allocations defined."
P1083,District Primary Education Reform 14,Vocational,Tamil Nadu,2019,Disadvantaged Groups,Under Review,0.25,"Central Government, Donors",0.146,"Policy to enhance early childhood development and assessment quality using teacher training programs. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance early childhood development and assessment quality using teacher training programs. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Stakeholder consultations planned. Focus on equity.","p1083 district primary education reform 14 vocational tamil nadu disadvantaged groups under review central government, donors policy to enhance early childhood development and assessment quality using teacher training programs. includes capacity-building, monitoring and community engagement. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. policy to enhance early childhood development and assessment quality using teacher training programs. includes capacity-building, monitoring and community engagement. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. stakeholder consultations planned. focus on equity."
P1478,National Higher Education Education Reform 19,Secondary,West Bengal,2024,Students,Under Review,5.48,"Teachers' Unions, Community Leaders",0.321,This policy aims to improve vocational skills in Secondary by providing public-private partnerships across West Bengal. It focuses on urban inclusion.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve vocational skills in Secondary by providing public-private partnerships across West Bengal. It focuses on urban inclusion. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Budget allocations defined.","p1478 national higher education education reform 19 secondary west bengal students under review teachers' unions, community leaders this policy aims to improve vocational skills in secondary by providing public-private partnerships across west bengal. it focuses on urban inclusion. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. this policy aims to improve vocational skills in secondary by providing public-private partnerships across west bengal. it focuses on urban inclusion. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. timeline set. budget allocations defined."
P1173,State Secondary Education Reform 43,Higher Education,Karnataka,2023,Teachers,Pilot,0.43,"Ministry of Education, Local NGOs",0.509,This policy aims to improve early childhood development in Higher Education by providing curriculum reform across Karnataka. It focuses on marginalized communities.,"Train 3712 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve early childhood development in Higher Education by providing curriculum reform across Karnataka. It focuses on marginalized communities. Goals: Train 3712 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. Timeline set. Focus on equity.","p1173 state secondary education reform 43 higher education karnataka teachers pilot ministry of education, local ngos this policy aims to improve early childhood development in higher education by providing curriculum reform across karnataka. it focuses on marginalized communities. train 3712 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. this policy aims to improve early childhood development in higher education by providing curriculum reform across karnataka. it focuses on marginalized communities. goals: train 3712 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. timeline set. focus on equity."
P1322,State Higher Education Education Reform 31,Early Childhood,Gujarat,2018,Rural Students,Pilot,0.55,"State Education Department, Private Partners",0.876,"Policy to enhance vocational skills and governance using curriculum reform. Includes capacity-building, monitoring and community engagement.",Increase vocational skills score by 21% within 1 years and reduce disparities between rural and urban areas.,"Policy to enhance vocational skills and governance using curriculum reform. Includes capacity-building, monitoring and community engagement. Goals: Increase vocational skills score by 21% within 1 years and reduce disparities between rural and urban areas. Focus on equity. Budget allocations defined.","p1322 state higher education education reform 31 early childhood gujarat rural students pilot state education department, private partners policy to enhance vocational skills and governance using curriculum reform. includes capacity-building, monitoring and community engagement. increase vocational skills score by 21% within 1 years and reduce disparities between rural and urban areas. policy to enhance vocational skills and governance using curriculum reform. includes capacity-building, monitoring and community engagement. goals: increase vocational skills score by 21% within 1 years and reduce disparities between rural and urban areas. focus on equity. budget allocations defined."
P1091,State Early Childhood Education Reform 78,Primary,Kerala,2019,Urban Students,Pilot,17.77,"Central Government, Donors",0.343,"Policy to enhance learning outcomes and safety standards using digital device distribution. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance learning outcomes and safety standards using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Includes evaluation.","p1091 state early childhood education reform 78 primary kerala urban students pilot central government, donors policy to enhance learning outcomes and safety standards using digital device distribution. includes capacity-building, monitoring and community engagement. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. policy to enhance learning outcomes and safety standards using digital device distribution. includes capacity-building, monitoring and community engagement. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. includes evaluation. includes evaluation."
P1181,National Early Childhood Education Reform 16,Vocational,Karnataka,2021,Rural Students,Under Review,7.41,"Teachers' Unions, Community Leaders",0.105,A nationwide/state-level initiative to strengthen digital access through public-private partnerships. Targets Rural Students and aims to reduce dropout rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen digital access through public-private partnerships. Targets Rural Students and aims to reduce dropout rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Stakeholder consultations planned. Budget allocations defined.","p1181 national early childhood education reform 16 vocational karnataka rural students under review teachers' unions, community leaders a nationwide/state-level initiative to strengthen digital access through public-private partnerships. targets rural students and aims to reduce dropout rates. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. a nationwide/state-level initiative to strengthen digital access through public-private partnerships. targets rural students and aims to reduce dropout rates. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. stakeholder consultations planned. budget allocations defined."
P1415,District Primary Education Reform 92,Vocational,Rajasthan,2020,Teachers,Proposed,0.49,"EdTech Companies, Universities",0.904,A nationwide/state-level initiative to strengthen infrastructure through grants to schools. Targets Teachers and aims to boost employability.,Increase infrastructure score by 8% within 4 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen infrastructure through grants to schools. Targets Teachers and aims to boost employability. Goals: Increase infrastructure score by 8% within 4 years and reduce disparities between rural and urban areas. Budget allocations defined. Focus on equity.,"p1415 district primary education reform 92 vocational rajasthan teachers proposed edtech companies, universities a nationwide/state-level initiative to strengthen infrastructure through grants to schools. targets teachers and aims to boost employability. increase infrastructure score by 8% within 4 years and reduce disparities between rural and urban areas. a nationwide/state-level initiative to strengthen infrastructure through grants to schools. targets teachers and aims to boost employability. goals: increase infrastructure score by 8% within 4 years and reduce disparities between rural and urban areas. budget allocations defined. focus on equity."
P1313,District Higher Education Education Reform 56,Vocational,Kerala,2016,Disadvantaged Groups,Implemented,0.21,"Teachers' Unions, Community Leaders",0.675,This policy aims to improve teacher quality in Vocational by providing public-private partnerships across Kerala. It focuses on STEM education.,Increase teacher quality score by 12% within 2 years and reduce disparities between rural and urban areas.,This policy aims to improve teacher quality in Vocational by providing public-private partnerships across Kerala. It focuses on STEM education. Goals: Increase teacher quality score by 12% within 2 years and reduce disparities between rural and urban areas. Budget allocations defined. Timeline set.,"p1313 district higher education education reform 56 vocational kerala disadvantaged groups implemented teachers' unions, community leaders this policy aims to improve teacher quality in vocational by providing public-private partnerships across kerala. it focuses on stem education. increase teacher quality score by 12% within 2 years and reduce disparities between rural and urban areas. this policy aims to improve teacher quality in vocational by providing public-private partnerships across kerala. it focuses on stem education. goals: increase teacher quality score by 12% within 2 years and reduce disparities between rural and urban areas. budget allocations defined. timeline set."
