policy_id,title,sector,region,year,impact_score,goals,text_for_nlp
P1029,State Secondary Education Reform 12,Higher Education,Gujarat,2018,0.857,Increase infrastructure score by 22% within 5 years and reduce disparities between rural and urban areas.,state secondary education reform 12 increase infrastructure score by 22% within 5 years and reduce disparities between rural and urban areas.
P1171,State Secondary Education Reform 15,Secondary,Karnataka,2017,0.261,Increase digital access score by 36% within 1 years and reduce disparities between rural and urban areas.,state secondary education reform 15 increase digital access score by 36% within 1 years and reduce disparities between rural and urban areas.
P1143,District Vocational Education Reform 45,Early Childhood,Rajasthan,2020,0.295,Increase teacher quality score by 15% within 1 years and reduce disparities between rural and urban areas.,district vocational education reform 45 increase teacher quality score by 15% within 1 years and reduce disparities between rural and urban areas.
P1399,District Early Childhood Education Reform 31,Secondary,Uttar Pradesh,2017,0.243,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district early childhood education reform 31 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1343,State Primary Education Reform 5,Early Childhood,Kerala,2021,0.591,"Train 241 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","state primary education reform 5 train 241 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1222,State Early Childhood Education Reform 90,Vocational,Uttar Pradesh,2024,0.872,"Train 4401 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","state early childhood education reform 90 train 4401 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1096,National Primary Education Reform 55,Higher Education,Maharashtra,2023,0.26,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national primary education reform 55 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1052,National Primary Education Reform 61,Vocational,Kerala,2023,0.139,Increase vocational skills score by 35% within 4 years and reduce disparities between rural and urban areas.,national primary education reform 61 increase vocational skills score by 35% within 4 years and reduce disparities between rural and urban areas.
P1241,District Primary Education Reform 72,Vocational,Rajasthan,2025,0.789,"Train 2461 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","district primary education reform 72 train 2461 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1485,District Higher Education Education Reform 5,Early Childhood,Gujarat,2015,0.346,Increase infrastructure score by 37% within 1 years and reduce disparities between rural and urban areas.,district higher education education reform 5 increase infrastructure score by 37% within 1 years and reduce disparities between rural and urban areas.
P1379,State Secondary Education Reform 90,Early Childhood,Maharashtra,2021,0.344,Increase vocational skills score by 31% within 5 years and reduce disparities between rural and urban areas.,state secondary education reform 90 increase vocational skills score by 31% within 5 years and reduce disparities between rural and urban areas.
P1179,District Primary Education Reform 26,Higher Education,Tamil Nadu,2019,0.282,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district primary education reform 26 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1042,State Primary Education Reform 93,Secondary,West Bengal,2025,0.401,Increase vocational skills score by 25% within 4 years and reduce disparities between rural and urban areas.,state primary education reform 93 increase vocational skills score by 25% within 4 years and reduce disparities between rural and urban areas.
P1499,District Vocational Education Reform 55,Early Childhood,Punjab,2023,0.217,"Train 750 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","district vocational education reform 55 train 750 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1422,State Vocational Education Reform 62,Primary,Rajasthan,2021,0.35,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state vocational education reform 62 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1207,National Early Childhood Education Reform 55,Vocational,Rajasthan,2015,0.507,Increase learning outcomes score by 5% within 2 years and reduce disparities between rural and urban areas.,national early childhood education reform 55 increase learning outcomes score by 5% within 2 years and reduce disparities between rural and urban areas.
P1283,State Primary Education Reform 94,Vocational,Uttar Pradesh,2018,0.942,"Train 378 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","state primary education reform 94 train 378 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1255,National Vocational Education Reform 87,Primary,Maharashtra,2021,0.893,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national vocational education reform 87 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1413,District Higher Education Education Reform 7,Higher Education,Uttar Pradesh,2025,0.811,"Train 4314 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","district higher education education reform 7 train 4314 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1005,District Higher Education Education Reform 96,Early Childhood,West Bengal,2024,0.553,"Train 1360 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","district higher education education reform 96 train 1360 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1257,State Vocational Education Reform 60,Secondary,Delhi,2020,0.39,Increase vocational skills score by 20% within 5 years and reduce disparities between rural and urban areas.,state vocational education reform 60 increase vocational skills score by 20% within 5 years and reduce disparities between rural and urban areas.
P1449,District Vocational Education Reform 46,Early Childhood,West Bengal,2015,0.649,Increase teacher quality score by 34% within 2 years and reduce disparities between rural and urban areas.,district vocational education reform 46 increase teacher quality score by 34% within 2 years and reduce disparities between rural and urban areas.
P1101,State Secondary Education Reform 33,Secondary,Kerala,2025,0.146,"Train 646 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","state secondary education reform 33 train 646 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1227,State Vocational Education Reform 98,Vocational,Kerala,2024,0.42,Increase digital access score by 6% within 5 years and reduce disparities between rural and urban areas.,state vocational education reform 98 increase digital access score by 6% within 5 years and reduce disparities between rural and urban areas.
P1430,National Secondary Education Reform 10,Vocational,Uttar Pradesh,2022,0.747,Increase learning outcomes score by 12% within 1 years and reduce disparities between rural and urban areas.,national secondary education reform 10 increase learning outcomes score by 12% within 1 years and reduce disparities between rural and urban areas.
P1214,State Vocational Education Reform 70,Higher Education,Rajasthan,2022,0.487,"Train 2894 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","state vocational education reform 70 train 2894 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1172,District Higher Education Education Reform 2,Early Childhood,Punjab,2024,0.529,Increase vocational skills score by 5% within 2 years and reduce disparities between rural and urban areas.,district higher education education reform 2 increase vocational skills score by 5% within 2 years and reduce disparities between rural and urban areas.
P1099,National Early Childhood Education Reform 41,Early Childhood,Punjab,2025,0.977,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national early childhood education reform 41 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1293,District Early Childhood Education Reform 8,Higher Education,West Bengal,2017,0.353,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district early childhood education reform 8 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1216,State Secondary Education Reform 21,Vocational,West Bengal,2018,0.78,Increase early childhood development score by 31% within 2 years and reduce disparities between rural and urban areas.,state secondary education reform 21 increase early childhood development score by 31% within 2 years and reduce disparities between rural and urban areas.
P1062,State Early Childhood Education Reform 8,Higher Education,Rajasthan,2016,0.84,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state early childhood education reform 8 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1048,State Higher Education Education Reform 75,Vocational,Kerala,2016,0.392,Increase early childhood development score by 31% within 1 years and reduce disparities between rural and urban areas.,state higher education education reform 75 increase early childhood development score by 31% within 1 years and reduce disparities between rural and urban areas.
P1033,National Vocational Education Reform 63,Primary,Punjab,2025,0.945,"Train 4933 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","national vocational education reform 63 train 4933 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1268,State Higher Education Education Reform 13,Higher Education,Punjab,2021,0.379,"Train 147 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","state higher education education reform 13 train 147 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1328,District Vocational Education Reform 12,Vocational,Delhi,2017,0.245,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district vocational education reform 12 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1201,National Higher Education Education Reform 29,Higher Education,Maharashtra,2024,0.355,Increase early childhood development score by 17% within 5 years and reduce disparities between rural and urban areas.,national higher education education reform 29 increase early childhood development score by 17% within 5 years and reduce disparities between rural and urban areas.
P1447,State Vocational Education Reform 5,Early Childhood,Tamil Nadu,2022,0.789,"Train 1798 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","state vocational education reform 5 train 1798 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1028,National Early Childhood Education Reform 83,Higher Education,Karnataka,2021,0.666,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national early childhood education reform 83 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1425,District Higher Education Education Reform 98,Early Childhood,Kerala,2020,0.566,Increase early childhood development score by 7% within 5 years and reduce disparities between rural and urban areas.,district higher education education reform 98 increase early childhood development score by 7% within 5 years and reduce disparities between rural and urban areas.
P1231,District Primary Education Reform 71,Vocational,Delhi,2016,0.598,"Train 4647 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","district primary education reform 71 train 4647 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1261,District Vocational Education Reform 52,Vocational,West Bengal,2023,0.442,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district vocational education reform 52 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1289,District Early Childhood Education Reform 71,Vocational,Gujarat,2019,0.302,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district early childhood education reform 71 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1163,District Primary Education Reform 61,Secondary,Rajasthan,2016,0.222,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district primary education reform 61 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1426,District Early Childhood Education Reform 66,Primary,Tamil Nadu,2022,0.284,Increase learning outcomes score by 37% within 4 years and reduce disparities between rural and urban areas.,district early childhood education reform 66 increase learning outcomes score by 37% within 4 years and reduce disparities between rural and urban areas.
P1139,National Primary Education Reform 22,Vocational,Gujarat,2020,0.502,Increase digital access score by 7% within 2 years and reduce disparities between rural and urban areas.,national primary education reform 22 increase digital access score by 7% within 2 years and reduce disparities between rural and urban areas.
P1063,National Primary Education Reform 58,Primary,Kerala,2016,0.982,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national primary education reform 58 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1136,National Higher Education Education Reform 73,Higher Education,Punjab,2018,0.752,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national higher education education reform 73 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1129,National Primary Education Reform 18,Primary,Punjab,2021,0.347,"Train 269 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","national primary education reform 18 train 269 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1477,State Higher Education Education Reform 9,Higher Education,Karnataka,2022,0.147,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state higher education education reform 9 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1009,National Primary Education Reform 43,Primary,Rajasthan,2018,0.613,"Train 822 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","national primary education reform 43 train 822 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1327,State Early Childhood Education Reform 14,Higher Education,Tamil Nadu,2015,0.629,Increase learning outcomes score by 18% within 1 years and reduce disparities between rural and urban areas.,state early childhood education reform 14 increase learning outcomes score by 18% within 1 years and reduce disparities between rural and urban areas.
P1464,District Primary Education Reform 44,Primary,Maharashtra,2022,0.456,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district primary education reform 44 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1065,National Early Childhood Education Reform 12,Vocational,Rajasthan,2020,0.404,"Train 1319 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","national early childhood education reform 12 train 1319 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1301,District Higher Education Education Reform 46,Secondary,Rajasthan,2024,0.571,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district higher education education reform 46 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1015,State Higher Education Education Reform 7,Primary,West Bengal,2019,0.244,Increase digital access score by 12% within 1 years and reduce disparities between rural and urban areas.,state higher education education reform 7 increase digital access score by 12% within 1 years and reduce disparities between rural and urban areas.
P1157,National Early Childhood Education Reform 21,Primary,Delhi,2023,0.845,"Train 3002 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","national early childhood education reform 21 train 3002 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1041,State Vocational Education Reform 42,Secondary,Uttar Pradesh,2024,0.728,"Train 4107 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","state vocational education reform 42 train 4107 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1380,State Vocational Education Reform 58,Secondary,Delhi,2018,0.439,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state vocational education reform 58 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1469,District Primary Education Reform 19,Vocational,Maharashtra,2016,0.524,"Train 1019 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","district primary education reform 19 train 1019 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1404,District Higher Education Education Reform 59,Secondary,Punjab,2017,0.294,Increase vocational skills score by 14% within 4 years and reduce disparities between rural and urban areas.,district higher education education reform 59 increase vocational skills score by 14% within 4 years and reduce disparities between rural and urban areas.
P1217,District Vocational Education Reform 80,Vocational,Delhi,2024,0.963,Increase learning outcomes score by 33% within 1 years and reduce disparities between rural and urban areas.,district vocational education reform 80 increase learning outcomes score by 33% within 1 years and reduce disparities between rural and urban areas.
P1280,District Vocational Education Reform 6,Primary,Karnataka,2023,0.163,Increase infrastructure score by 25% within 2 years and reduce disparities between rural and urban areas.,district vocational education reform 6 increase infrastructure score by 25% within 2 years and reduce disparities between rural and urban areas.
P1435,State Vocational Education Reform 89,Vocational,Punjab,2025,0.542,Increase early childhood development score by 31% within 5 years and reduce disparities between rural and urban areas.,state vocational education reform 89 increase early childhood development score by 31% within 5 years and reduce disparities between rural and urban areas.
P1431,National Early Childhood Education Reform 2,Primary,Maharashtra,2023,0.776,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national early childhood education reform 2 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1338,National Higher Education Education Reform 34,Higher Education,Tamil Nadu,2017,0.65,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national higher education education reform 34 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1237,National Secondary Education Reform 84,Secondary,Punjab,2023,0.91,"Train 2650 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","national secondary education reform 84 train 2650 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1208,District Higher Education Education Reform 24,Early Childhood,Delhi,2018,0.477,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district higher education education reform 24 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1213,National Vocational Education Reform 68,Primary,Maharashtra,2019,0.375,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national vocational education reform 68 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1296,National Higher Education Education Reform 64,Primary,Punjab,2020,0.967,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national higher education education reform 64 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1458,National Higher Education Education Reform 45,Vocational,Punjab,2024,0.925,Increase infrastructure score by 18% within 3 years and reduce disparities between rural and urban areas.,national higher education education reform 45 increase infrastructure score by 18% within 3 years and reduce disparities between rural and urban areas.
P1252,National Vocational Education Reform 65,Primary,Gujarat,2023,0.376,"Train 1730 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","national vocational education reform 65 train 1730 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1489,District Secondary Education Reform 12,Early Childhood,Karnataka,2025,0.895,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district secondary education reform 12 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1487,National Primary Education Reform 94,Secondary,Uttar Pradesh,2016,0.388,"Train 1475 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","national primary education reform 94 train 1475 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1304,National Vocational Education Reform 52,Early Childhood,Maharashtra,2017,0.851,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national vocational education reform 52 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1351,National Vocational Education Reform 4,Early Childhood,Kerala,2021,0.25,"Train 1313 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","national vocational education reform 4 train 1313 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1270,State Vocational Education Reform 85,Primary,Gujarat,2019,0.347,"Train 542 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","state vocational education reform 85 train 542 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1202,District Secondary Education Reform 79,Secondary,Karnataka,2020,0.794,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district secondary education reform 79 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1162,National Higher Education Education Reform 13,Vocational,Tamil Nadu,2019,0.416,Increase vocational skills score by 23% within 4 years and reduce disparities between rural and urban areas.,national higher education education reform 13 increase vocational skills score by 23% within 4 years and reduce disparities between rural and urban areas.
P1044,District Secondary Education Reform 64,Early Childhood,Tamil Nadu,2018,0.9,"Train 655 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","district secondary education reform 64 train 655 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1218,National Higher Education Education Reform 54,Higher Education,Gujarat,2020,0.15,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national higher education education reform 54 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1402,State Secondary Education Reform 96,Primary,Punjab,2020,0.526,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state secondary education reform 96 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1191,District Vocational Education Reform 84,Secondary,Kerala,2021,0.181,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district vocational education reform 84 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1310,District Vocational Education Reform 42,Early Childhood,Maharashtra,2022,0.248,Increase teacher quality score by 39% within 2 years and reduce disparities between rural and urban areas.,district vocational education reform 42 increase teacher quality score by 39% within 2 years and reduce disparities between rural and urban areas.
P1260,District Higher Education Education Reform 56,Higher Education,Maharashtra,2024,0.429,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district higher education education reform 56 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1106,National Secondary Education Reform 25,Early Childhood,Rajasthan,2019,0.432,"Train 1900 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","national secondary education reform 25 train 1900 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1054,State Vocational Education Reform 54,Primary,Kerala,2021,0.16,Increase learning outcomes score by 40% within 1 years and reduce disparities between rural and urban areas.,state vocational education reform 54 increase learning outcomes score by 40% within 1 years and reduce disparities between rural and urban areas.
P1390,State Vocational Education Reform 72,Early Childhood,Gujarat,2016,0.104,"Train 4075 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","state vocational education reform 72 train 4075 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1002,National Vocational Education Reform 44,Higher Education,Tamil Nadu,2018,0.419,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national vocational education reform 44 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1442,State Early Childhood Education Reform 13,Early Childhood,Tamil Nadu,2015,0.358,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state early childhood education reform 13 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1483,District Vocational Education Reform 51,Primary,Maharashtra,2019,0.332,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district vocational education reform 51 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1050,District Higher Education Education Reform 70,Higher Education,Karnataka,2021,0.182,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district higher education education reform 70 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1420,District Higher Education Education Reform 55,Early Childhood,Karnataka,2021,0.32,"Train 2093 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","district higher education education reform 55 train 2093 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1081,District Higher Education Education Reform 94,Higher Education,West Bengal,2017,0.209,Increase digital access score by 29% within 5 years and reduce disparities between rural and urban areas.,district higher education education reform 94 increase digital access score by 29% within 5 years and reduce disparities between rural and urban areas.
P1206,State Secondary Education Reform 14,Primary,Maharashtra,2025,0.953,Increase digital access score by 36% within 2 years and reduce disparities between rural and urban areas.,state secondary education reform 14 increase digital access score by 36% within 2 years and reduce disparities between rural and urban areas.
P1035,District Higher Education Education Reform 90,Vocational,Maharashtra,2025,0.3,Increase infrastructure score by 24% within 5 years and reduce disparities between rural and urban areas.,district higher education education reform 90 increase infrastructure score by 24% within 5 years and reduce disparities between rural and urban areas.
P1264,State Early Childhood Education Reform 7,Higher Education,Rajasthan,2015,0.475,Increase teacher quality score by 21% within 1 years and reduce disparities between rural and urban areas.,state early childhood education reform 7 increase teacher quality score by 21% within 1 years and reduce disparities between rural and urban areas.
P1428,District Secondary Education Reform 53,Early Childhood,Delhi,2020,0.257,"Train 3179 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","district secondary education reform 53 train 3179 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1367,State Secondary Education Reform 29,Higher Education,Tamil Nadu,2020,0.85,Increase learning outcomes score by 26% within 2 years and reduce disparities between rural and urban areas.,state secondary education reform 29 increase learning outcomes score by 26% within 2 years and reduce disparities between rural and urban areas.
P1092,District Vocational Education Reform 55,Early Childhood,Kerala,2016,0.388,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district vocational education reform 55 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1340,State Primary Education Reform 20,Higher Education,Kerala,2017,0.318,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state primary education reform 20 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1474,State Vocational Education Reform 33,Higher Education,Gujarat,2015,0.789,Increase early childhood development score by 14% within 4 years and reduce disparities between rural and urban areas.,state vocational education reform 33 increase early childhood development score by 14% within 4 years and reduce disparities between rural and urban areas.
P1053,National Primary Education Reform 42,Early Childhood,Tamil Nadu,2016,0.572,Increase digital access score by 40% within 2 years and reduce disparities between rural and urban areas.,national primary education reform 42 increase digital access score by 40% within 2 years and reduce disparities between rural and urban areas.
P1346,State Early Childhood Education Reform 64,Vocational,Gujarat,2022,0.531,"Train 1791 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","state early childhood education reform 64 train 1791 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes."
P1265,District Higher Education Education Reform 95,Early Childhood,Karnataka,2019,0.324,"Train 166 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","district higher education education reform 95 train 166 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1242,National Secondary Education Reform 75,Early Childhood,Tamil Nadu,2021,0.625,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national secondary education reform 75 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1014,District Higher Education Education Reform 79,Early Childhood,Karnataka,2025,0.335,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district higher education education reform 79 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1316,State Higher Education Education Reform 76,Primary,Gujarat,2023,0.708,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state higher education education reform 76 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1089,National Early Childhood Education Reform 35,Early Childhood,Delhi,2017,0.301,Increase infrastructure score by 11% within 2 years and reduce disparities between rural and urban areas.,national early childhood education reform 35 increase infrastructure score by 11% within 2 years and reduce disparities between rural and urban areas.
P1388,National Secondary Education Reform 76,Early Childhood,Uttar Pradesh,2018,0.246,Increase infrastructure score by 23% within 5 years and reduce disparities between rural and urban areas.,national secondary education reform 76 increase infrastructure score by 23% within 5 years and reduce disparities between rural and urban areas.
P1274,National Secondary Education Reform 4,Early Childhood,Uttar Pradesh,2022,0.96,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national secondary education reform 4 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1167,District Primary Education Reform 77,Primary,Maharashtra,2025,0.495,Increase learning outcomes score by 5% within 3 years and reduce disparities between rural and urban areas.,district primary education reform 77 increase learning outcomes score by 5% within 3 years and reduce disparities between rural and urban areas.
P1329,District Primary Education Reform 48,Early Childhood,Uttar Pradesh,2022,0.477,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district primary education reform 48 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1493,National Higher Education Education Reform 56,Vocational,Delhi,2018,0.575,Increase digital access score by 8% within 4 years and reduce disparities between rural and urban areas.,national higher education education reform 56 increase digital access score by 8% within 4 years and reduce disparities between rural and urban areas.
P1135,State Secondary Education Reform 54,Higher Education,Delhi,2016,0.26,"Train 3860 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","state secondary education reform 54 train 3860 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1307,National Secondary Education Reform 72,Higher Education,Tamil Nadu,2022,0.78,"Train 3948 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","national secondary education reform 72 train 3948 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1481,District Primary Education Reform 60,Early Childhood,Gujarat,2015,0.397,Increase learning outcomes score by 12% within 5 years and reduce disparities between rural and urban areas.,district primary education reform 60 increase learning outcomes score by 12% within 5 years and reduce disparities between rural and urban areas.
P1320,State Vocational Education Reform 74,Secondary,Karnataka,2015,0.333,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state vocational education reform 74 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
